template,condition,n,complete_identity_accuracy,exact_accuracy,first_token_accuracy
dialogue,clean,50,1.0,0.72,1.0
dialogue,early_5_7,50,0.22,0.0,0.92
dialogue,full_intermediate_bottleneck,50,0.2,0.0,0.82
dialogue,generated_read_block,50,0.26,0.0,1.0
dialogue,late_negative_30_32,50,0.2,0.0,0.84
dialogue,later_middle_19_21,50,0.22,0.0,0.98
dialogue,middle_12_14,50,0.26,0.0,0.94
dialogue,sparse_union,50,0.24,0.0,1.0
direct_fact,clean,50,1.0,1.0,1.0
direct_fact,early_5_7,50,0.14,0.14,1.0
direct_fact,full_intermediate_bottleneck,50,0.16,0.16,1.0
direct_fact,generated_read_block,50,0.2,0.2,1.0
direct_fact,late_negative_30_32,50,0.16,0.16,1.0
direct_fact,later_middle_19_21,50,0.16,0.16,1.0
direct_fact,middle_12_14,50,0.14,0.14,1.0
direct_fact,sparse_union,50,0.16,0.16,1.0
friend,clean,50,1.0,1.0,1.0
friend,early_5_7,50,0.08,0.08,0.98
friend,full_intermediate_bottleneck,50,0.08,0.08,1.0
friend,generated_read_block,50,0.16,0.16,1.0
friend,late_negative_30_32,50,0.08,0.08,0.98
friend,later_middle_19_21,50,0.08,0.08,1.0
friend,middle_12_14,50,0.08,0.08,1.0
friend,sparse_union,50,0.08,0.08,1.0
person_in_list,clean,50,1.0,1.0,1.0
person_in_list,early_5_7,50,0.18,0.18,1.0
person_in_list,full_intermediate_bottleneck,50,0.2,0.2,1.0
person_in_list,generated_read_block,50,0.62,0.62,1.0
person_in_list,late_negative_30_32,50,0.22,0.22,1.0
person_in_list,later_middle_19_21,50,0.22,0.22,1.0
person_in_list,middle_12_14,50,0.3,0.3,1.0
person_in_list,sparse_union,50,0.44,0.44,1.0
visitor_register,clean,50,1.0,1.0,1.0
visitor_register,early_5_7,50,0.2,0.2,1.0
visitor_register,full_intermediate_bottleneck,50,0.2,0.2,1.0
visitor_register,generated_read_block,50,0.34,0.34,1.0
visitor_register,late_negative_30_32,50,0.18,0.18,1.0
visitor_register,later_middle_19_21,50,0.2,0.2,1.0
visitor_register,middle_12_14,50,0.2,0.2,1.0
visitor_register,sparse_union,50,0.2,0.2,1.0
