template,condition,n,entity_accuracy,exact_accuracy,first_token_accuracy,mean_expected_log_probability,mean_logit_margin
dialogue,clean,50,1.0,0.24,1.0,-0.6250082495808598,2.3175
dialogue,early_5_7,50,0.48,0.0,0.5,-2.1603250169754027,0.0125
dialogue,full_intermediate_bottleneck,50,0.38,0.0,0.4,-2.4151936757564543,-0.235
dialogue,generated_read_block,50,1.0,0.0,1.0,-0.6250082495808598,2.3175
dialogue,late_negative_30_32,50,0.42,0.0,0.42,-2.368369776010513,-0.1625
dialogue,later_middle_19_21,50,0.54,0.0,0.54,-2.0517459619045253,0.245
dialogue,middle_12_14,50,0.44,0.0,0.44,-2.2836689007282254,-0.125
dialogue,sparse_union,50,0.86,0.0,0.86,-1.3710622775554655,1.1725
direct_fact,clean,50,1.0,1.0,1.0,-0.10307716019451561,4.0225
direct_fact,early_5_7,50,1.0,0.98,1.0,-0.31639942765235857,2.585
direct_fact,full_intermediate_bottleneck,50,1.0,0.9,0.92,-0.5566556370258328,1.83
direct_fact,generated_read_block,50,1.0,1.0,1.0,-0.10307716019451561,4.0225
direct_fact,late_negative_30_32,50,1.0,0.92,0.94,-0.5231107082962986,1.89
direct_fact,later_middle_19_21,50,1.0,0.98,0.98,-0.42707395806908566,2.1725
direct_fact,middle_12_14,50,1.0,1.0,1.0,-0.2743102425336834,2.6825
direct_fact,sparse_union,50,1.0,1.0,1.0,-0.17453142724931187,3.21
friend,clean,50,1.0,0.96,0.96,-0.2700514358282085,3.3625
friend,early_5_7,50,0.98,0.98,0.98,-0.9580125683546064,1.7025
friend,full_intermediate_bottleneck,50,0.26,0.26,0.26,-3.3155026984214784,-0.6975
friend,generated_read_block,50,1.0,0.96,0.96,-0.2700514358282085,3.3625
friend,late_negative_30_32,50,0.34,0.34,0.34,-3.17397935628891,-0.555
friend,later_middle_19_21,50,0.42,0.42,0.42,-2.890096435546875,-0.24
friend,middle_12_14,50,0.82,0.82,0.82,-1.699385950565338,0.9775
friend,sparse_union,50,1.0,1.0,1.0,-0.48469982385635335,2.67
person_in_list,clean,50,1.0,1.0,1.0,-0.2040900918841357,3.5225
person_in_list,early_5_7,50,0.86,0.86,0.86,-1.0155479267239567,1.2025
person_in_list,full_intermediate_bottleneck,50,0.78,0.78,0.78,-1.2598419138789172,0.775
person_in_list,generated_read_block,50,1.0,1.0,1.0,-0.2040900918841357,3.5225
person_in_list,late_negative_30_32,50,0.78,0.78,0.78,-1.1982324337959287,0.8725
person_in_list,later_middle_19_21,50,0.9,0.9,0.9,-0.7406453889608379,1.9375
person_in_list,middle_12_14,50,0.88,0.88,0.88,-0.9545830914378162,1.45
person_in_list,sparse_union,50,0.98,0.98,0.98,-0.4049220998585219,3.0425
visitor_register,clean,50,0.98,0.92,0.92,-0.3117259610444303,2.5675
visitor_register,early_5_7,50,1.0,0.96,0.96,-0.4282608515024181,2.155
visitor_register,full_intermediate_bottleneck,50,0.98,0.94,0.94,-0.5069468401372429,1.895
visitor_register,generated_read_block,50,0.98,0.92,0.92,-0.3117259610444303,2.5675
visitor_register,late_negative_30_32,50,1.0,0.96,0.96,-0.4784298349916931,1.9725
visitor_register,later_middle_19_21,50,1.0,0.96,0.96,-0.3805522398650642,2.295
visitor_register,middle_12_14,50,1.0,0.96,0.96,-0.45443403035402263,2.0275
visitor_register,sparse_union,50,1.0,0.96,0.96,-0.27754036918282465,2.705
