rescued,harmed,unchanged_correct,unchanged_incorrect,p,base_accuracy,candidate_accuracy,template,candidate,n
36,0,13,1,2.9103830456733704e-11,0.26,0.98,friend,early_5_7,50
28,0,13,9,7.450580596923828e-09,0.26,0.82,friend,middle_12_14,50
8,0,13,29,0.0078125,0.26,0.42,friend,later_middle_19_21,50
37,0,13,0,1.4551915228366852e-11,0.26,1.0,friend,sparse_union,50
4,0,13,33,0.125,0.26,0.34,friend,late_negative_30_32,50
4,0,39,7,0.125,0.78,0.86,person_in_list,early_5_7,50
5,0,39,6,0.0625,0.78,0.88,person_in_list,middle_12_14,50
6,0,39,5,0.03125,0.78,0.9,person_in_list,later_middle_19_21,50
10,0,39,1,0.001953125,0.78,0.98,person_in_list,sparse_union,50
0,0,39,11,1.0,0.78,0.78,person_in_list,late_negative_30_32,50
5,0,19,26,0.0625,0.38,0.48,dialogue,early_5_7,50
3,0,19,28,0.25,0.38,0.44,dialogue,middle_12_14,50
8,0,19,23,0.0078125,0.38,0.54,dialogue,later_middle_19_21,50
24,0,19,7,1.1920928955078125e-07,0.38,0.86,dialogue,sparse_union,50
2,0,19,29,0.5,0.38,0.42,dialogue,late_negative_30_32,50
0,0,50,0,1.0,1.0,1.0,direct_fact,early_5_7,50
0,0,50,0,1.0,1.0,1.0,direct_fact,middle_12_14,50
0,0,50,0,1.0,1.0,1.0,direct_fact,later_middle_19_21,50
0,0,50,0,1.0,1.0,1.0,direct_fact,sparse_union,50
0,0,50,0,1.0,1.0,1.0,direct_fact,late_negative_30_32,50
1,0,49,0,1.0,0.98,1.0,visitor_register,early_5_7,50
1,0,49,0,1.0,0.98,1.0,visitor_register,middle_12_14,50
1,0,49,0,1.0,0.98,1.0,visitor_register,later_middle_19_21,50
1,0,49,0,1.0,0.98,1.0,visitor_register,sparse_union,50
1,0,49,0,1.0,0.98,1.0,visitor_register,late_negative_30_32,50
