template,condition,n,entity_accuracy,exact_accuracy,first_token_accuracy,mean_expected_log_probability,mean_logit_margin
dialogue,clean,36,1.0,0.19444444444444445,1.0,-0.6306924927565781,2.1909722222222223
dialogue,early_5_7,36,0.3888888888888889,0.0,0.4166666666666667,-2.201733973291185,-0.14583333333333334
dialogue,full_intermediate_bottleneck,36,0.3055555555555556,0.0,0.3333333333333333,-2.4714692880709963,-0.4166666666666667
dialogue,generated_read_block,36,1.0,0.0,1.0,-0.6306924927565781,2.1909722222222223
dialogue,late_negative_30_32,36,0.3611111111111111,0.0,0.3611111111111111,-2.4214782267808914,-0.3402777777777778
dialogue,later_middle_19_21,36,0.4444444444444444,0.0,0.4444444444444444,-2.0773295925723176,0.10069444444444445
dialogue,middle_12_14,36,0.3611111111111111,0.0,0.3611111111111111,-2.3276256471872325,-0.2951388888888889
dialogue,sparse_union,36,0.8055555555555556,0.0,0.8055555555555556,-1.3571028014024096,1.0868055555555556
direct_fact,clean,36,1.0,1.0,1.0,-0.09377391439759009,4.145833333333333
direct_fact,early_5_7,36,1.0,0.9722222222222222,1.0,-0.289596256282594,2.6944444444444446
direct_fact,full_intermediate_bottleneck,36,1.0,0.9444444444444444,0.9722222222222222,-0.4820348798400822,2.017361111111111
direct_fact,generated_read_block,36,1.0,1.0,1.0,-0.09377391439759009,4.145833333333333
direct_fact,late_negative_30_32,36,1.0,0.9444444444444444,0.9722222222222222,-0.4564913763768138,2.076388888888889
direct_fact,later_middle_19_21,36,1.0,1.0,1.0,-0.3779129886792762,2.3333333333333335
direct_fact,middle_12_14,36,1.0,1.0,1.0,-0.24023631070223075,2.84375
direct_fact,sparse_union,36,1.0,1.0,1.0,-0.1606524798812132,3.3020833333333335
friend,clean,36,1.0,0.9722222222222222,0.9722222222222222,-0.2490083304130365,3.3993055555555554
friend,early_5_7,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,-0.9604810550808902,1.7048611111111112
friend,full_intermediate_bottleneck,36,0.2777777777777778,0.2777777777777778,0.2777777777777778,-3.2605414821041956,-0.6458333333333334
friend,generated_read_block,36,1.0,0.9722222222222222,0.9722222222222222,-0.2490083304130365,3.3993055555555554
friend,late_negative_30_32,36,0.3888888888888889,0.3888888888888889,0.3888888888888889,-3.1151683694786496,-0.5034722222222222
friend,later_middle_19_21,36,0.5,0.5,0.5,-2.857521206140518,-0.21875
friend,middle_12_14,36,0.7777777777777778,0.7777777777777778,0.7777777777777778,-1.7310513787799406,0.9652777777777778
friend,sparse_union,36,1.0,1.0,1.0,-0.499053402493397,2.6180555555555554
person_in_list,clean,36,1.0,1.0,1.0,-0.21327784419473622,3.545138888888889
person_in_list,early_5_7,36,0.8333333333333334,0.8333333333333334,0.8333333333333334,-1.1077717066638995,1.0729166666666667
person_in_list,full_intermediate_bottleneck,36,0.75,0.75,0.75,-1.374453017281161,0.6423611111111112
person_in_list,generated_read_block,36,1.0,1.0,1.0,-0.21327784419473622,3.545138888888889
person_in_list,late_negative_30_32,36,0.75,0.75,0.75,-1.3031489683522117,0.7465277777777778
person_in_list,later_middle_19_21,36,0.8611111111111112,0.8611111111111112,0.8611111111111112,-0.8121434640553259,1.8784722222222223
person_in_list,middle_12_14,36,0.8333333333333334,0.8333333333333334,0.8333333333333334,-1.054665056781636,1.3298611111111112
person_in_list,sparse_union,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,-0.4383321588651997,3.0868055555555554
visitor_register,clean,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,-0.20698865565160865,3.048611111111111
visitor_register,early_5_7,36,1.0,1.0,1.0,-0.3568629198190234,2.3680555555555554
visitor_register,full_intermediate_bottleneck,36,1.0,1.0,1.0,-0.429284793635209,2.09375
visitor_register,generated_read_block,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,-0.20698865565160865,3.048611111111111
visitor_register,late_negative_30_32,36,1.0,1.0,1.0,-0.396120764729049,2.1840277777777777
visitor_register,later_middle_19_21,36,1.0,1.0,1.0,-0.3079679349644311,2.5243055555555554
visitor_register,middle_12_14,36,1.0,1.0,1.0,-0.3804495106968611,2.2291666666666665
visitor_register,sparse_union,36,1.0,1.0,1.0,-0.22603687230083633,2.9131944444444446
