rescued,harmed,unchanged_correct,unchanged_incorrect,p,base_accuracy,candidate_accuracy,template,candidate,n
25,0,10,1,5.960464477539063e-08,0.2777777777777778,0.9722222222222222,friend,early_5_7,36
18,0,10,8,7.62939453125e-06,0.2777777777777778,0.7777777777777778,friend,middle_12_14,36
8,0,10,18,0.0078125,0.2777777777777778,0.5,friend,later_middle_19_21,36
26,0,10,0,2.9802322387695312e-08,0.2777777777777778,1.0,friend,sparse_union,36
4,0,10,22,0.125,0.2777777777777778,0.3888888888888889,friend,late_negative_30_32,36
3,0,27,6,0.25,0.75,0.8333333333333334,person_in_list,early_5_7,36
3,0,27,6,0.25,0.75,0.8333333333333334,person_in_list,middle_12_14,36
4,0,27,5,0.125,0.75,0.8611111111111112,person_in_list,later_middle_19_21,36
8,0,27,1,0.0078125,0.75,0.9722222222222222,person_in_list,sparse_union,36
0,0,27,9,1.0,0.75,0.75,person_in_list,late_negative_30_32,36
3,0,11,22,0.25,0.3055555555555556,0.3888888888888889,dialogue,early_5_7,36
2,0,11,23,0.5,0.3055555555555556,0.3611111111111111,dialogue,middle_12_14,36
5,0,11,20,0.0625,0.3055555555555556,0.4444444444444444,dialogue,later_middle_19_21,36
18,0,11,7,7.62939453125e-06,0.3055555555555556,0.8055555555555556,dialogue,sparse_union,36
2,0,11,23,0.5,0.3055555555555556,0.3611111111111111,dialogue,late_negative_30_32,36
0,0,36,0,1.0,1.0,1.0,direct_fact,early_5_7,36
0,0,36,0,1.0,1.0,1.0,direct_fact,middle_12_14,36
0,0,36,0,1.0,1.0,1.0,direct_fact,later_middle_19_21,36
0,0,36,0,1.0,1.0,1.0,direct_fact,sparse_union,36
0,0,36,0,1.0,1.0,1.0,direct_fact,late_negative_30_32,36
0,0,36,0,1.0,1.0,1.0,visitor_register,early_5_7,36
0,0,36,0,1.0,1.0,1.0,visitor_register,middle_12_14,36
0,0,36,0,1.0,1.0,1.0,visitor_register,later_middle_19_21,36
0,0,36,0,1.0,1.0,1.0,visitor_register,sparse_union,36
0,0,36,0,1.0,1.0,1.0,visitor_register,late_negative_30_32,36
