analysis_set,template,condition,n,exact_accuracy,exact_accuracy_ci95_low,exact_accuracy_ci95_high,entity_containing_accuracy,entity_containing_accuracy_ci95_low,entity_containing_accuracy_ci95_high,first_token_accuracy,first_token_accuracy_ci95_low,first_token_accuracy_ci95_high,mean_expected_entity_log_probability,mean_expected_entity_log_probability_ci95_low,mean_expected_entity_log_probability_ci95_high,mean_expected_vs_alternative_logit_margin,mean_expected_vs_alternative_logit_margin_ci95_low,mean_expected_vs_alternative_logit_margin_ci95_high
all_100,direct_fact,clean,100,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,-0.08633123537525535,-0.09594877594656523,-0.07671369480394546,4.1525,4.025952881016537,4.2790471189834625
all_100,direct_fact,generated_read_block,100,0.6,0.5020025867910618,0.6905987135675411,0.6,0.5020025867910618,0.6905987135675411,1.0,0.9630065017930143,1.0,-0.08633123537525535,-0.09594877594656523,-0.07671369480394546,4.1525,4.025952881016537,4.2790471189834625
all_100,direct_fact,full_intermediate_bottleneck,100,0.53,0.4328885697009936,0.6248918204065872,0.58,0.4820648670304296,0.6720161732564526,0.96,0.9016292856411208,0.9843366960084523,-0.3659212091565132,-0.42720407394320226,-0.3046383443698242,2.53125,2.3070846000330283,2.7554153999669717
all_100,direct_fact,early_5_7,100,0.56,0.4622810465167699,0.6532797336983921,0.57,0.47215389549212305,0.6626670147588988,1.0,0.9630065017930143,1.0,-0.23557514756917952,-0.2678594346009409,-0.20329086053741813,2.94375,2.787822533939737,3.099677466060263
all_100,direct_fact,middle_12_14,100,0.57,0.47215389549212305,0.6626670147588988,0.57,0.47215389549212305,0.6626670147588988,1.0,0.9630065017930143,1.0,-0.201723247282207,-0.22924028794095597,-0.17420620662345804,3.055,2.899274111642917,3.2107258883570835
all_100,direct_fact,later_middle_19_21,100,0.57,0.47215389549212305,0.6626670147588988,0.58,0.4820648670304296,0.6720161732564526,0.99,0.9455138038212946,0.9982325679358593,-0.28209215924143793,-0.32993673333600804,-0.23424758514686786,2.8,2.5912317493789416,3.008768250621058
all_100,direct_fact,sparse_union,100,0.58,0.4820648670304296,0.6720161732564526,0.58,0.4820648670304296,0.6720161732564526,1.0,0.9630065017930143,1.0,-0.1439679041877389,-0.15941204408662796,-0.12852376428884982,3.36125,3.2465884386294865,3.4759115613705136
all_100,direct_fact,late_negative_30_32,100,0.54,0.44264860323368227,0.6343919169097589,0.58,0.4820648670304296,0.6720161732564526,0.97,0.9154806357094724,0.9897454759759611,-0.34539974652230737,-0.40196723146313956,-0.2888322615814752,2.5825,2.3616622861846106,2.8033377138153894
all_100,person_in_list,clean,100,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,-0.1387030384130776,-0.1742369295217293,-0.10316914730442588,3.93625,3.7536305778152825,4.1188694221847175
all_100,person_in_list,generated_read_block,100,0.81,0.7222115462093562,0.8748524849023126,0.81,0.7222115462093562,0.8748524849023126,1.0,0.9630065017930143,1.0,-0.1387030384130776,-0.1742369295217293,-0.10316914730442588,3.93625,3.7536305778152825,4.1188694221847175
