analysis_set,template,condition,layer,mean_final_token_entity_attention,mean_final_token_entity_contribution_norm
all_100,direct_fact,clean,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,clean,1,0.0061945094377733765,0.08937582597136498
all_100,direct_fact,clean,2,0.00856875854311511,0.1189815865457058
all_100,direct_fact,clean,3,0.013807873534969985,0.6415950275957585
all_100,direct_fact,clean,4,0.005435186324175448,0.1604836556315422
all_100,direct_fact,clean,5,0.0029115932597778738,0.13718157686293125
all_100,direct_fact,clean,6,0.0034175470378249883,0.12809491090476513
all_100,direct_fact,clean,7,0.0012503358494723215,0.09999342842027545
all_100,direct_fact,clean,8,0.0022245994210243225,0.17432759307324885
all_100,direct_fact,clean,9,0.0038518836803268642,0.3470911329984665
all_100,direct_fact,clean,10,0.0047453436092473565,0.5549267046153545
all_100,direct_fact,clean,11,0.002407639613375068,0.1340047884359956
all_100,direct_fact,clean,12,0.002207146140281111,0.18840126171708108
all_100,direct_fact,clean,13,0.0038688049057964235,0.18645075470209121
all_100,direct_fact,clean,14,0.005872257289011032,0.3279012429714203
all_100,direct_fact,clean,15,0.0023446497006807477,0.19380549095571042
all_100,direct_fact,clean,16,0.0032380691869184374,0.1893576092272997
all_100,direct_fact,clean,17,0.005451409368542954,0.3040756861120462
all_100,direct_fact,clean,18,0.008713204576633871,0.6988720037043095
all_100,direct_fact,clean,19,0.011861830572597683,1.0729613676667213
all_100,direct_fact,clean,20,0.02934532405808568,2.406280955076218
all_100,direct_fact,clean,21,0.09988823771476746,12.64877121448517
all_100,direct_fact,clean,22,0.03940471797250211,4.461847693920135
all_100,direct_fact,clean,23,0.13037724018096924,26.26204538345337
all_100,direct_fact,clean,24,0.14011633224785328,36.570932636260984
all_100,direct_fact,clean,25,0.027229631906375288,16.585256509780884
all_100,direct_fact,clean,26,0.05305014539510012,13.623161735534667
all_100,direct_fact,clean,27,0.05211142672225833,18.1149702835083
all_100,direct_fact,clean,28,0.07843611504882574,46.13522388458252
all_100,direct_fact,clean,29,0.08762644611299038,60.587590065002445
all_100,direct_fact,clean,30,0.04696703398600221,49.240524768829346
all_100,direct_fact,clean,31,0.10238702669739723,106.98998168945313
all_100,direct_fact,clean,32,0.05909697730094195,122.93321481704712
all_100,direct_fact,clean,33,0.09364415656775237,133.6270078277588
all_100,direct_fact,clean,34,0.061438381858170035,120.68969387054443
all_100,direct_fact,clean,35,0.020671762861311435,13.20817126274109
all_100,direct_fact,full_intermediate_bottleneck,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,full_intermediate_bottleneck,1,0.006244885025080293,0.09027159832417965
all_100,direct_fact,full_intermediate_bottleneck,2,0.008615995573345572,0.11976152520626783
all_100,direct_fact,full_intermediate_bottleneck,3,0.014811110822483898,0.7114362740516662
all_100,direct_fact,full_intermediate_bottleneck,4,0.006047183533664793,0.17639973059296607
all_100,direct_fact,full_intermediate_bottleneck,5,0.0034553430741652846,0.17671422816812993
all_100,direct_fact,full_intermediate_bottleneck,6,0.0033928198856301604,0.12403470426797866
all_100,direct_fact,full_intermediate_bottleneck,7,0.0014075783389853314,0.11954440854489803
all_100,direct_fact,full_intermediate_bottleneck,8,0.002558227254776284,0.20408071860671043
all_100,direct_fact,full_intermediate_bottleneck,9,0.004650816940702498,0.43970451667904853
all_100,direct_fact,full_intermediate_bottleneck,10,0.005041544712148607,0.5987958993017674
all_100,direct_fact,full_intermediate_bottleneck,11,0.00270602140808478,0.1575358187034726
all_100,direct_fact,full_intermediate_bottleneck,12,0.0023340816382551566,0.19864198081195356
all_100,direct_fact,full_intermediate_bottleneck,13,0.004211981870466844,0.20593750186264514
all_100,direct_fact,full_intermediate_bottleneck,14,0.006359383931849152,0.3535644152760506
all_100,direct_fact,full_intermediate_bottleneck,15,0.0026979851309442892,0.22134578913450242
all_100,direct_fact,full_intermediate_bottleneck,16,0.0037811033742036673,0.21992928020656108
all_100,direct_fact,full_intermediate_bottleneck,17,0.007336263379547745,0.4636395420879126
all_100,direct_fact,full_intermediate_bottleneck,18,0.018419635477475823,1.7112408417463303
all_100,direct_fact,full_intermediate_bottleneck,19,0.02148805825971067,1.858574879169464
all_100,direct_fact,full_intermediate_bottleneck,20,0.054683958142995835,4.476533796787262
all_100,direct_fact,full_intermediate_bottleneck,21,0.1653385881334543,18.75150842666626
all_100,direct_fact,full_intermediate_bottleneck,22,0.05319246143102646,5.924011964797973
all_100,direct_fact,full_intermediate_bottleneck,23,0.15016494080424309,28.07219440460205
all_100,direct_fact,full_intermediate_bottleneck,24,0.16483690664172174,38.94150718688965
all_100,direct_fact,full_intermediate_bottleneck,25,0.03021276814863086,16.157596168518065
all_100,direct_fact,full_intermediate_bottleneck,26,0.06493379944935442,22.917703704833983
all_100,direct_fact,full_intermediate_bottleneck,27,0.05801212709397077,20.94990472793579
all_100,direct_fact,full_intermediate_bottleneck,28,0.08458420053124428,46.804148273468016
all_100,direct_fact,full_intermediate_bottleneck,29,0.08654293626546859,56.75476860046387
all_100,direct_fact,full_intermediate_bottleneck,30,0.045897245295345786,45.6120396232605
all_100,direct_fact,full_intermediate_bottleneck,31,0.08740698788315057,86.54291107177734
all_100,direct_fact,full_intermediate_bottleneck,32,0.0511959059163928,98.31866405487061
all_100,direct_fact,full_intermediate_bottleneck,33,0.08269307088106871,115.50070621490478
all_100,direct_fact,full_intermediate_bottleneck,34,0.05766888877376914,98.55000049591064
all_100,direct_fact,full_intermediate_bottleneck,35,0.02547773975878954,15.773683180809021
all_100,direct_fact,early_5_7,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,early_5_7,1,0.006244885025080293,0.09027159832417965
all_100,direct_fact,early_5_7,2,0.008615995573345572,0.11976152520626783
all_100,direct_fact,early_5_7,3,0.014811110822483898,0.7114362740516662
all_100,direct_fact,early_5_7,4,0.006047183533664793,0.17639973059296607
all_100,direct_fact,early_5_7,5,0.0034553430741652846,0.17671422816812993
all_100,direct_fact,early_5_7,6,0.0034166316082701086,0.12500832475721835
all_100,direct_fact,early_5_7,7,0.0013773194776149466,0.11648835029453039
all_100,direct_fact,early_5_7,8,0.0024211436533369125,0.19268617242574693
all_100,direct_fact,early_5_7,9,0.004315027450211346,0.39973935797810556
