analysis_set,template,contrast_kind,baseline_condition,candidate_condition,n,semantic_rescued,semantic_harmed,semantic_unchanged_correct,semantic_unchanged_incorrect,baseline_semantic_failures,conditional_semantic_rescue_fraction,conditional_semantic_rescue_ci95_low,conditional_semantic_rescue_ci95_high,semantic_mcnemar_exact_p,exact_rescued,exact_harmed,exact_unchanged_correct,exact_unchanged_incorrect,baseline_exact_failures,conditional_exact_rescue_fraction,conditional_exact_rescue_ci95_low,conditional_exact_rescue_ci95_high,exact_mcnemar_exact_p,mean_paired_expected_log_probability_change,paired_expected_log_probability_change_ci95_low,paired_expected_log_probability_change_ci95_high,mean_paired_logit_margin_change,paired_logit_margin_change_ci95_low,paired_logit_margin_change_ci95_high,prespecified_primary,prespecified_late_control_comparison,semantic_holm_adjusted_p,exact_holm_adjusted_p
all_100,direct_fact,versus_full_bottleneck,full_intermediate_bottleneck,early_5_7,100,0,1,57,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,4,1,52,43,47,0.0851063829787234,0.03359412345792552,0.19931537786964587,0.375,0.13034606158733367,0.0979986807173681,0.16269344245729922,0.4125,0.3108452454940487,0.5141547545059513,False,False,1.0,0.75
all_100,direct_fact,versus_full_bottleneck,full_intermediate_bottleneck,middle_12_14,100,0,1,57,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,5,1,52,42,47,0.10638297872340426,0.04630478218108157,0.22594269343738355,0.21875,0.16419796187430621,0.12844448711124853,0.1999514366373639,0.52375,0.4212918450645874,0.6262081549354127,True,False,,
all_100,direct_fact,versus_full_bottleneck,full_intermediate_bottleneck,later_middle_19_21,100,0,0,58,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,4,0,53,43,47,0.0851063829787234,0.03359412345792552,0.19931537786964587,0.125,0.0838290499150753,0.06770522887243227,0.09995287095771832,0.26875,0.22452534632017457,0.3129746536798254,False,False,1.0,0.375
all_100,direct_fact,versus_full_bottleneck,full_intermediate_bottleneck,sparse_union,100,0,0,58,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,5,0,53,42,47,0.10638297872340426,0.04630478218108157,0.22594269343738355,0.0625,0.22195330496877433,0.17318481259334,0.27072179734420865,0.83,0.6755884670325816,0.9844115329674183,True,False,,
all_100,direct_fact,versus_full_bottleneck,full_intermediate_bottleneck,late_negative_30_32,100,0,0,58,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,1,0,53,46,47,0.02127659574468085,0.0037657680385967812,0.11112981041629329,1.0,0.020521462634205817,0.013077253580645824,0.02796567168776581,0.05125,0.026298666583421743,0.07620133341657825,False,False,1.0,1.0
all_100,direct_fact,versus_late_negative,late_negative_30_32,early_5_7,100,0,1,57,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,3,1,53,43,46,0.06521739130434782,0.022427861429288584,0.17502741081904216,0.625,0.10982459895312786,0.08181661630368628,0.13783258160256945,0.36125,0.26111057778584834,0.4613894222141517,False,True,1.0,0.75
all_100,direct_fact,versus_late_negative,late_negative_30_32,middle_12_14,100,0,1,57,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,4,1,53,42,46,0.08695652173913043,0.03433586789472588,0.2032466407411883,0.375,0.1436764992401004,0.11230800170196546,0.17504499677823532,0.4725,0.37169972925263284,0.5733002707473671,False,True,1.0,0.75
all_100,direct_fact,versus_late_negative,late_negative_30_32,later_middle_19_21,100,0,0,58,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,3,0,54,43,46,0.06521739130434782,0.022427861429288584,0.17502741081904216,0.25,0.06330758728086948,0.050425401433820335,0.07618977312791862,0.2175,0.17172260116003213,0.26327739883996787,False,True,1.0,0.75
all_100,direct_fact,versus_late_negative,late_negative_30_32,sparse_union,100,0,0,58,42,42,0.0,-6.938893903907228e-18,0.08379879086570391,1.0,4,0,54,42,46,0.08695652173913043,0.03433586789472588,0.2032466407411883,0.125,0.2014318423345685,0.15729768028000923,0.2455660043891278,0.77875,0.6266358913902077,0.9308641086097924,False,True,1.0,0.5
all_100,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,early_5_7,100,5,2,47,46,51,0.09803921568627451,0.04260807310761862,0.20978234681080865,0.453125,5,2,47,46,51,0.09803921568627451,0.04260807310761862,0.20978234681080865,0.453125,0.2116037379205227,0.18534416852207264,0.23786330731897276,0.43125,0.37809208661991717,0.4844079133800829,False,False,0.90625,0.90625
all_100,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,middle_12_14,100,10,0,49,41,51,0.19607843137254902,0.11015342512466689,0.3245807948136561,0.001953125,10,0,49,41,51,0.19607843137254902,0.11015342512466689,0.3245807948136561,0.001953125,0.24996848195791244,0.21682738823158462,0.2831095756842402,0.62375,0.5614313401194936,0.6860686598805065,False,False,0.005859375,0.005859375
all_100,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,later_middle_19_21,100,8,1,48,43,51,0.1568627450980392,0.08169223220048706,0.2801044677298776,0.0390625,8,1,48,43,51,0.1568627450980392,0.08169223220048706,0.2801044677298776,0.0390625,0.45650792963802816,0.4077380756878602,0.5052777835881962,1.22625,1.1410794296252016,1.3114205703747985,True,False,,
all_100,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,sparse_union,100,22,0,49,29,51,0.43137254901960786,0.3050123610790954,0.5673469789069776,4.76837158203125e-07,22,0,49,29,51,0.43137254901960786,0.3050123610790954,0.5673469789069776,4.76837158203125e-07,0.7063254464790225,0.617915730965172,0.794735161992873,2.29,2.1461572301739866,2.4338427698260134,True,False,,
all_100,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,late_negative_30_32,100,1,0,49,50,51,0.0196078431372549,0.0034696926410608536,0.10304568726144975,1.0,1,0,49,50,51,0.0196078431372549,0.0034696926410608536,0.10304568726144975,1.0,0.04631168395280838,0.03306308807010437,0.05956027983551239,0.0775,0.04956766610761339,0.10543233389238661,False,False,1.0,1.0
all_100,person_in_list,versus_late_negative,late_negative_30_32,early_5_7,100,4,2,48,46,50,0.08,0.03154951408859298,0.18838246918342838,0.6875,4,2,48,46,50,0.08,0.03154951408859298,0.18838246918342838,0.6875,0.16529205396771432,0.1418938133140385,0.18869029462139014,0.35375,0.3012176477870468,0.4062823522129532,False,True,0.6875,0.6875
all_100,person_in_list,versus_late_negative,late_negative_30_32,middle_12_14,100,9,0,50,41,50,0.18,0.09770192670234178,0.30796053674300783,0.00390625,9,0,50,41,50,0.18,0.09770192670234178,0.30796053674300783,0.00390625,0.20365679800510406,0.1719263667830998,0.2353872292271083,0.54625,0.48573633222389007,0.60676366777611,False,True,0.01171875,0.01171875
all_100,person_in_list,versus_late_negative,late_negative_30_32,later_middle_19_21,100,7,1,49,43,50,0.14,0.06950833427016294,0.2618619371058554,0.0703125,7,1,49,43,50,0.14,0.06950833427016294,0.2618619371058554,0.0703125,0.4101962456852198,0.36472563035152544,0.4556668610189141,1.14875,1.0636524190123922,1.2338475809876077,False,True,0.140625,0.140625
all_100,person_in_list,versus_late_negative,late_negative_30_32,sparse_union,100,21,0,50,29,50,0.42,0.2937500335471198,0.5576655823142176,9.5367431640625e-07,21,0,50,29,50,0.42,0.2937500335471198,0.5576655823142176,9.5367431640625e-07,0.6600137625262141,0.57553938083106,0.7444881442213682,2.2125,2.070368592751801,2.3546314072481986,False,True,3.814697265625e-06,3.814697265625e-06
